Step,Total Reward,Loss,Matched Passengers,Canceled,Dropped Passengers,Waiting Passengers,Total Accounted Passengers,Rebalancing Count
1,-19.0,0.0,1,0,0,0,1,4
2,-36.0,0.0,2,0,0,0,2,6
3,-55.0,0.0,3,0,0,0,3,8
4,-78.0,0.0,4,0,0,0,4,12
5,-97.0,0.0009181353379972279,5,0,0,0,5,14
6,-98.0,0.0,6,0,0,0,6,16
7,-97.0,0.0,7,0,0,0,7,16
8,-96.0,0.0,8,0,0,0,8,16
9,-95.0,0.0,9,0,0,0,9,16
10,-95.0,0.000787123164627701,9,0,0,1,10,16
11,-109.0909090909091,0.0,11,0,0,0,11,18
12,-108.0909090909091,0.0,12,0,0,0,12,18
13,-107.0909090909091,0.0,13,0,0,0,13,18
14,-106.0909090909091,0.0,14,0,0,0,14,18
15,-106.0909090909091,0.0008871795726008713,14,0,0,1,15,18
16,-105.1534090909091,0.0,15,0,0,1,16,18
17,-105.1534090909091,0.0,15,0,0,2,17,18
18,-104.26452020202021,0.0,16,0,0,2,18,18
19,-103.36978335991495,0.0,17,0,0,2,19,18
20,-102.46978335991494,0.015107422135770321,18,0,0,2,20,18
21,-102.46978335991494,0.0,18,0,0,3,21,18
22,-101.60614699627858,0.0,19,0,0,3,22,18
23,-100.73658177888728,0.0,20,0,0,3,23,18
24,-99.86158177888728,0.0,21,0,0,3,24,18
25,-98.98158177888729,0.013369563035666943,22,0,0,3,25,18
26,-98.98158177888729,0.0,22,1,0,3,26,18
27,-98.12972992703544,0.0,23,1,0,3,27,18
28,-97.27258706989258,0.0,24,2,0,2,28,18
29,-97.27258706989258,0.0,24,2,0,3,29,18
30,-96.43925373655925,0.03619912266731262,25,2,0,3,30,18
31,-95.60054405913989,0.0,26,2,0,3,31,18
32,-95.60054405913989,0.0,26,3,0,3,32,18
33,-94.78236224095808,0.0,27,3,0,3,33,18
34,-93.95883282919337,0.0,28,3,0,3,34,18
35,-93.13026140062195,0.0002029927563853562,29,3,0,3,35,18
36,-90.54692806728862,0.0,32,3,0,1,36,18
37,-89.65503617539673,0.0,33,3,0,1,37,18
38,-87.83924670171253,0.0,35,3,0,0,38,18
39,-86.9161697786356,0.0,36,3,0,0,39,18
40,-85.99116977863561,0.09441619366407394,37,3,0,0,40,18
41,-85.99116977863561,0.0,37,3,0,1,41,18
42,-84.15783644530228,0.0,39,3,0,0,42,18
43,-84.15783644530228,0.0,39,3,0,1,43,18
44,-84.15783644530228,0.0,39,3,0,2,44,18
45,-84.15783644530228,0.00041398798930458724,39,3,0,3,45,18
46,-83.28827122791098,0.0,40,3,0,3,46,18
47,-82.41593080237907,0.0,41,3,0,3,47,18
48,-81.54093080237907,0.0,42,3,0,3,48,18
49,-80.6633797819709,0.0,43,3,0,3,49,18
50,-79.78337978197091,0.003967087250202894,44,3,0,3,50,18
51,-79.78337978197091,0.0,44,3,0,3,50,18
52,-79.78337978197091,0.0,44,3,0,3,50,18
53,-79.78337978197091,0.0,44,3,0,3,50,18
54,-79.78337978197091,0.0,44,4,0,2,50,18
55,-79.78337978197091,0.17641407251358032,44,5,0,1,50,18
56,-79.78337978197091,0.0,44,6,0,0,50,18
57,-79.78337978197091,0.0,44,6,0,0,50,18
58,-79.78337978197091,0.0,44,6,0,0,50,18
59,-79.78337978197091,0.0,44,6,0,0,50,18
60,-79.78337978197091,0.0002851200697477907,44,6,0,0,50,18
