From,To,Key,TravelTime
1,2,0,3
1,3,0,3
2,1,0,2
2,6,0,2
3,1,0,1
3,4,0,3
3,12,0,3
6,2,0,1
6,5,0,1
6,8,0,2
4,3,0,2
4,5,0,2
4,11,0,2
12,3,0,2
12,11,0,3
12,13,0,3
5,4,0,3
5,6,0,3
5,9,0,3
11,4,0,2
11,10,0,3
11,12,0,2
11,14,0,1
9,5,0,1
9,8,0,2
9,10,0,2
8,6,0,2
8,7,0,3
8,9,0,2
8,16,0,1
7,8,0,3
7,18,0,2
18,7,0,2
18,16,0,1
18,20,0,2
16,8,0,1
16,10,0,2
16,17,0,3
16,18,0,1
10,9,0,2
10,11,0,3
10,15,0,1
10,16,0,3
10,17,0,3
15,10,0,2
15,14,0,2
15,19,0,3
15,22,0,2
17,10,0,2
17,16,0,1
17,19,0,2
14,11,0,1
14,15,0,3
14,23,0,1
13,12,0,2
13,24,0,3
24,13,0,2
24,21,0,1
24,23,0,2
23,14,0,3
23,22,0,2
23,24,0,3
19,15,0,3
19,17,0,2
19,20,0,2
22,15,0,2
22,20,0,3
22,21,0,3
22,23,0,1
20,18,0,2
20,19,0,1
20,21,0,2
20,22,0,2
21,20,0,3
21,22,0,3
21,24,0,3
